,content_id,content_type,title,headline,description,publish_date,slug,description,state,duration,video_series,author_1,author_2,tag_1,tag_2,tag_3,thumbnail_1_URL,thumbnail_1_size,thumbnail_1_width,thumbnail_1_height,thumbnail_2_URL,thumbnail_2_size,thumbnail_2_width,thumbnail_2_height,thumbnail_3_URL,thumbnail_3_size,thumbnail_3_width,thumbnail_3_height
13,5c523c79e4b0c3a735a33c43,article,,New Overwatch Paris Map Live on PTR,The new assault map is already out on the public test realm servers for Overwatch.,2019-01-31T01:31:36+0000,new-overwatch-paris-map-live-on-ptr,The new assault map is already out on the public test realm servers for Overwatch.,published,,,Hope Corrigan,,news,activision-blizzard,game,https://assets1.ignimgs.com/2017/05/23/untitled-1-recovered-1495552277944_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2017/05/23/untitled-1-recovered-1495552277944_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2017/05/23/untitled-1-recovered-1495552277944_large.jpg,large,626.0,352.0
14,5c5248dee4b0775fa30cf74a,article,,Xbox to 'Be as Big at E3 as We've Ever Been' in Sony's Absence,"In a recent podcast, Xbox head Phil Spencer spoke about the company’s intentions at E3 2019 in the wake of Sony’s absence, saying Microsoft will “be as big as we’ve ever been.""",2019-01-31T01:08:49+0000,xbox-to-be-as-big-at-e3-as-weve-ever-been-in-sonys-absence,"In a recent podcast, Xbox head Phil Spencer spoke about the company’s intentions at E3 2019 in the wake of Sony’s absence, saying Microsoft will “be as big as we’ve ever been.""",published,,,Colin Stevens,,news,company,e3,https://assets1.ignimgs.com/2015/11/17/controller-xbox-onejpg-9b3fd4_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2015/11/17/controller-xbox-onejpg-9b3fd4_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2015/11/17/controller-xbox-onejpg-9b3fd4_large.jpg,large,626.0,352.0
15,5c52479ae4b0c3a735a33c48,article,,Ubisoft Reveals More Division 2 Private Beta Details,The private beta will run from February 7 to 11.,2019-01-31T00:55:53+0000,ubisoft-reveals-more-division-2-private-beta-details,The private beta will run from February 7 to 11.,published,,,Michael Domanico,,news,game,tom-clancys-the-division-2,https://assets1.ignimgs.com/2019/01/17/d2-gorgetown-1547748420496_compact.png,compact,306,172,https://assets1.ignimgs.com/2019/01/17/d2-gorgetown-1547748420496_medium.png,medium,466,262,https://assets1.ignimgs.com/2019/01/17/d2-gorgetown-1547748420496_large.png,large,626.0,352.0
16,5c524674e4b0b6ea190cbd66,article,,"The Batman Release Date Announced, Ben Affleck No Longer Playing Batman","DC's Batman solo movie has a release date, but will have to look for a new star.",2019-01-31T00:52:18+0000,suicide-squad-2-dc-super-pets-movie-release-dates-announced,"DC's Batman solo movie has a release date, but will have to look for a new star.",published,,,Jonathon Dornbush,Hope Corrigan,news,action,adventure,https://assets1.ignimgs.com/2017/01/06/batman-1280-1483662788992_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2017/01/06/batman-1280-1483662788992_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2017/01/06/batman-1280-1483662788992_large.jpg,large,626.0,352.0
17,5c5245c3e4b0b6ea190cbd61,article,,Epic's Game Store Isn't Ready for All Its Exclusives,"Despite some big-name exclusives, the Epic Games Store is still missing a lot of features.",2019-01-31T00:49:58+0000,epics-game-store-isnt-ready-for-all-its-exclusives,"Despite some big-name exclusives, the Epic Games Store is still missing a lot of features.",published,,,Tom Marks,,feature,4a-games,company,https://assets1.ignimgs.com/2018/08/22/division2-thumb-1534944632824_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2018/08/22/division2-thumb-1534944632824_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2018/08/22/division2-thumb-1534944632824_large.jpg,large,626.0,352.0
18,5c522539e4b0b6ea190cbd35,article,,PS5 Games We Think May Already Be in Development,"With word that Sony is reportedly shifting focus to PS5, we take a look at first and third party games we think will make the jump.",2019-01-31T00:12:07+0000,ps5-games-we-think-may-already-be-in-development,"With word that Sony is reportedly shifting focus to PS5, we take a look at first and third party games we think will make the jump.",published,,,Jonathon Dornbush,,feature,action,adventure,https://assets1.ignimgs.com/2019/01/30/ps5games-blogroll-1548887816349_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/ps5games-blogroll-1548887816349_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/ps5games-blogroll-1548887816349_large.jpg,large,626.0,352.0
19,5c5229d5e4b0b6ea190cbd41,article,,Heroes in Crisis: Is This DC Icon the True Killer?,The latest chapter of Heroes in Crisis further complicates a major DC murder mystery. Spoilers ahead!,2019-01-31T00:06:49+0000,heroes-in-crisis-is-this-dc-icon-the-true-killer,The latest chapter of Heroes in Crisis further complicates a major DC murder mystery. Spoilers ahead!,published,,,Jesse Schedeen,,news,volume,heroes-in-crisis,https://assets1.ignimgs.com/2018/09/26/01ea62523ab9c2eb13f5a9edb922c7380cf6fd62bc-2-1537968395086_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2018/09/26/01ea62523ab9c2eb13f5a9edb922c7380cf6fd62bc-2-1537968395086_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2018/09/26/01ea62523ab9c2eb13f5a9edb922c7380cf6fd62bc-2-1537968395086_large.jpg,large,626.0,352.0
20,5c52158ae4b0b6ea190cbd1e,article,,The Batman Movie Plot: Best DC Comics Matt Reeves Could Adapt,We pick seven detective-oriented DC comics we'd like to see inspire Matt Reeves' noir film.,2019-01-30T23:58:55+0000,the-batman-movie-plot-best-dc-comics-matt-reeves-could-adapt,We pick seven detective-oriented DC comics we'd like to see inspire Matt Reeves' noir film.,published,,,Jesse Schedeen,,feature,action,batman,https://assets1.ignimgs.com/2019/01/30/batmandetectivestories-blogroll-1548890099703_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/batmandetectivestories-blogroll-1548890099703_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/batmandetectivestories-blogroll-1548890099703_large.jpg,large,626.0,352.0
21,5c522371e4b0c3a735a33c18,article,,"Fans Want Shaggy in Mortal Kombat 11, But Will Scooby Doo Come to Injustice Instead?","Shaggy memes have gone viral, creating a petition for the character to be added to Mortal Kombat 11, with Scooby being petitioned to be added to Injustice.",2019-01-30T23:03:27+0000,fans-want-shaggy-in-mortal-kombat-11-but-will-scooby-doo-come-to-injustice-instead,"Shaggy memes have gone viral, creating a petition for the character to be added to Mortal Kombat 11, with Scooby being petitioned to be added to Injustice.",published,,,Jessie Wade,,news,character,fighting,https://assets1.ignimgs.com/2013/08/27/scoobydooandthewitchsghost-fanartjpeg-e93ffd_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2013/08/27/scoobydooandthewitchsghost-fanartjpeg-e93ffd_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2013/08/27/scoobydooandthewitchsghost-fanartjpeg-e93ffd_large.jpg,large,626.0,352.0
22,5c521cffe4b0775fa30cf715,article,,Was Kingdom Hearts 3 Worth the Wait? - Beyond Episode 576,Kingdom Hearts 3 impressions and much more on IGN's weekly PlayStation show.,2019-01-30T23:00:39+0000,was-kingdom-hearts-3-worth-the-wait-beyond-episode-576,Kingdom Hearts 3 impressions and much more on IGN's weekly PlayStation show.,published,,,Jonathon Dornbush,,news,action,game,https://assets1.ignimgs.com/2019/01/30/beyond-kh3-blogroll-1548884840506_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/beyond-kh3-blogroll-1548884840506_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/beyond-kh3-blogroll-1548884840506_large.jpg,large,626.0,352.0
